time	inactive	active	F	W	F_bound	vWA_bound	IF_IFclustered	IW_IWclustered	IF_IWclustered	Sum	Experiment
1.5353535353535354e-05	1.1063061120119645e-07	4.669974836020641e-09	0.1300108546437568	0.3299892639577289	0.021205562805491157	6.394357691143012e-06	0.014389621741486164	1.3084088922897115e-09	4.339067762002012e-06	0.049999996699082457	day18
1.5515151515151516e-05	9.760335376425528e-08	4.127057448256802e-09	0.13001084107730607	0.3299892639540048	0.02120556599222964	6.394359324347454e-06	0.014389626930297649	1.308409680504687e-09	4.339069851298988e-06	0.04999999669908245	day18
1.5676767676767675e-05	8.621621823800593e-08	3.652492942609339e-09	0.1300108292188966	0.32998926395071426	0.021205568777746542	6.394360772971168e-06	0.014389631465823675	1.3084103780939743e-09	4.339071691828892e-06	0.04999999669908245	day18
1.5838383838383837e-05	7.626218703223354e-08	3.2376537517911407e-09	0.13001081885293794	0.32998926394780254	0.021205571212684484	6.3943620603121165e-06	0.014389635430522452	1.3084109964963762e-09	4.339073314991239e-06	0.04999999669908246	day18
1.6e-05	6.756082917752817e-08	2.8750203393888042e-09	0.13001080979152727	0.3299892639452219	0.02120557334118221	6.394363206676192e-06	0.01438963889626233	1.3084115456816285e-09	4.339074748152969e-06	0.04999999669908246	day18
0.0	0.05	0.0	0.46	0.5	0.0	0.0	0.0	0.0	0.0	0.05	day25
1.616161616161616e-07	0.03520044827221372	0.001038806762377411	0.4462407756610362	0.4999984816109003	0.011529123888681103	1.3884623328291536e-06	0.001114985276899971	1.514187469193312e-11	1.2989648292112137e-07	0.0499999977626546	day25
3.232323232323232e-07	0.025338982153993373	0.0007549771049280703	0.43609662962096585	0.4999973318748477	0.015679375579873256	2.1381385257794924e-06	0.004111732474705933	6.843572587483559e-11	5.298497548558303e-07	0.04999999776311351	day25
4.848484848484849e-07	0.018311894917992906	0.0005493708871773047	0.4288647722717512	0.4999964957702204	0.017470944377116295	2.5549425468381195e-06	0.006831667164146458	1.3219392332790655e-10	9.490228447600843e-07	0.04999999776320363	day25
6.464646464646464e-07	0.01327127084195538	0.0004001297688969584	0.42367551576216494	0.4999958870854962	0.01856961818640608	2.8169012657134947e-06	0.008876785208609411	1.8951124697457232e-10	1.2956342154149814e-06	0.049999997763196274	day25
8.08080808080808e-07	0.009638048054586464	0.0002916340186683975	0.41993424070803687	0.4999954436020301	0.01932027809862721	2.9926670624796814e-06	0.010371958967161001	2.359439581708954e-10	1.5632590193383677e-06	0.04999999776319314	day25
9.696969696969698e-07	0.007010008240369049	0.00021266701181815598	0.4172275572021404	0.49999512028686016	0.01984837206716019	3.1147693728605047e-06	0.011461153165321442	2.7185236124214974e-10	1.764400061989915e-06	0.04999999776319184	day25
1.1313131313131313e-06	0.0051041466356595965	0.00015514147575876853	0.4152644058759504	0.4999948844722814	0.02022460577769196	3.2012535547544586e-06	0.01225453733508695	2.989872814883257e-10	1.9136761890099708e-06	0.04999999776319157	day25
1.2929292929292929e-06	0.003719410181840322	0.00011320821873679467	0.4138379082169445	0.499994712420446	0.020494678845930363	3.2631926240740547e-06	0.01283269459433906	3.192386417405393e-10	2.0237484523265687e-06	0.04999999776319161	day25
1.4545454545454544e-06	0.0027119241335428444	8.262621499453657e-05	0.41279996572571526	0.4999945868596355	0.020689522749338093	3.307846084227927e-06	0.013254203449579558	3.342436096857686e-10	2.104625792797066e-06	0.049999997763191625	day25
1.616161616161616e-06	0.001978177320689629	6.031477579920437e-05	0.4120439991224842	0.499994495210818	0.020830582038633343	3.34017014983467e-06	0.013561627455239336	3.4531138602210607e-10	2.1639284090870248e-06	0.04999999776319164	day25
1.7777777777777777e-06	0.001443402165446746	4.4032967006483725e-05	0.41149300906317304	0.49999442830609353	0.020932953118125514	3.3636314402022897e-06	0.013785915231571397	3.534510016896442e-10	2.207355563942831e-06	0.04999999776319163	day25
1.9393939393939395e-06	0.0010534347272110921	3.214901218749294e-05	0.41109120651608116	0.4999943794601306	0.021007375667846776	3.3806904590277152e-06	0.013949589342758771	3.5942512886841174e-10	2.2391305597220895e-06	0.04999999776319163	day25
2.101010101010101e-06	0.0007689526489396895	2.3473796005606797e-05	0.4107980848857288	0.49999434379602964	0.02106154717707648	3.3931096308716153e-06	0.014069052785234147	3.638037225081453e-10	2.2623667316264192e-06	0.04999999776319164	day25
